textbox22,Textbox9,,,,,,,,,,,,,,,,,,,,
generated on 30/11/2020 03:57:24 UTC,Data from: All sites,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,1,2014/12/29,2015/1/4,,1468,0,1,146,,162,309,1,0,5,6,315,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,2,2015/1/5,2015/1/11,,1635,0,6,291,,82,379,4,0,4,8,387,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,3,2015/1/12,2015/1/18,,1510,0,4,247,,82,333,2,0,8,10,343,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,4,2015/1/19,2015/1/25,,1531,0,6,272,,130,408,2,0,5,7,415,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,5,2015/1/26,2015/2/1,,1613,0,14,313,,100,427,5,0,10,15,442,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,6,2015/2/2,2015/2/8,,1545,0,9,306,,114,429,5,0,18,23,452,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,7,2015/2/9,2015/2/15,,1679,0,11,340,,107,458,12,1,30,43,501,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,8,2015/2/16,2015/2/22,,1778,0,16,280,,127,423,13,0,32,45,468,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,9,2015/2/23,2015/3/1,,1524,0,9,134,,95,238,6,0,58,64,302,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,10,2015/3/2,2015/3/8,,1262,0,12,71,,60,143,1,0,58,59,202,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,11,2015/3/9,2015/3/15,,1217,0,13,76,,35,124,5,1,73,79,203,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,12,2015/3/16,2015/3/22,,1183,0,14,46,,25,85,32,4,80,116,201,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,13,2015/3/23,2015/3/29,,1120,0,6,36,,10,52,17,0,85,102,154,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,14,2015/3/30,2015/4/5,,1085,0,9,15,,14,38,23,3,90,116,154,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,15,2015/4/6,2015/4/12,,1080,0,3,10,,11,24,11,2,101,114,138,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,16,2015/4/13,2015/4/19,,1094,0,4,5,,7,16,30,0,107,137,153,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,17,2015/4/20,2015/4/26,,867,0,1,1,,3,5,0,0,80,80,85,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,18,2015/4/27,2015/5/3,,950,0,1,1,,4,6,0,0,47,47,53,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,19,2015/5/4,2015/5/10,,907,0,0,2,,1,3,0,0,48,48,51,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,20,2015/5/11,2015/5/17,,883,0,0,1,,2,3,0,0,40,40,43,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,21,2015/5/18,2015/5/24,,882,0,0,0,,0,0,0,0,48,48,48,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,22,2015/5/25,2015/5/31,,750,0,1,2,,1,4,0,0,29,29,33,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,23,2015/6/1,2015/6/7,,810,0,1,3,,0,4,0,0,18,18,22,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,24,2015/6/8,2015/6/14,,834,0,0,2,,2,4,0,0,26,26,30,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,25,2015/6/15,2015/6/21,,752,0,0,8,,0,8,0,0,11,11,19,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,26,2015/6/22,2015/6/28,,721,0,0,4,,1,5,0,0,6,6,11,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,27,2015/6/29,2015/7/5,,694,0,0,0,,4,4,0,0,4,4,8,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,28,2015/7/6,2015/7/12,,758,0,0,0,,1,1,0,0,3,3,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,29,2015/7/13,2015/7/19,,613,0,0,1,,1,2,0,0,3,3,5,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,30,2015/7/20,2015/7/26,,639,0,1,1,,1,3,0,0,2,2,5,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,31,2015/7/27,2015/8/2,,663,0,1,5,,2,8,0,0,0,0,8,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,32,2015/8/3,2015/8/9,,601,0,0,2,,1,3,0,0,2,2,5,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,33,2015/8/10,2015/8/16,,593,0,0,2,,1,3,0,0,4,4,7,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,34,2015/8/17,2015/8/23,,607,0,0,2,,1,3,0,0,1,1,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,35,2015/8/24,2015/8/30,,650,0,0,0,,0,0,0,0,1,1,1,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,36,2015/8/31,2015/9/6,,746,0,0,0,,2,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,37,2015/9/7,2015/9/13,,770,0,1,1,,0,2,0,0,1,1,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,38,2015/9/14,2015/9/20,,780,0,0,0,,2,2,0,0,1,1,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,39,2015/9/21,2015/9/27,,684,0,0,0,,2,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,40,2015/9/28,2015/10/4,,902,0,1,4,,5,10,0,0,9,9,19,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,41,2015/10/5,2015/10/11,,962,0,6,7,,21,34,0,1,7,8,42,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,42,2015/10/12,2015/10/18,,1008,0,7,2,,7,16,0,0,9,9,25,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,43,2015/10/19,2015/10/25,,1100,0,9,2,,7,18,0,0,5,5,23,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,44,2015/10/26,2015/11/1,,1099,0,4,3,,15,22,0,0,15,15,37,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,45,2015/11/2,2015/11/8,,1199,0,7,2,,18,27,0,0,8,8,35,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,46,2015/11/9,2015/11/15,,1089,0,3,2,,8,13,0,0,13,13,26,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,47,2015/11/16,2015/11/22,,1320,0,12,2,,13,27,0,1,9,10,37,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,48,2015/11/23,2015/11/29,,1401,0,13,2,,12,27,0,1,12,13,40,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,49,2015/11/30,2015/12/6,,1347,0,13,4,,26,43,0,1,17,18,61,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,50,2015/12/7,2015/12/13,,1428,0,33,1,,19,53,0,0,11,11,64,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,51,2015/12/14,2015/12/20,,1531,0,82,3,,71,156,0,0,11,11,167,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,52,2015/12/21,2015/12/27,,1279,0,97,0,,84,181,1,0,16,17,198,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,53,2015/12/28,2016/1/3,,1465,0,139,0,,112,251,1,0,25,26,277,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,1,2016/1/4,2016/1/10,,1746,0,225,5,,165,395,1,1,25,27,422,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,2,2016/1/11,2016/1/17,,1562,0,210,3,,161,374,0,0,32,32,406,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,3,2016/1/18,2016/1/24,,1793,0,305,5,,218,528,0,1,27,28,556,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,4,2016/1/25,2016/1/31,,1958,0,387,3,,391,781,0,0,49,49,830,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,5,2016/2/1,2016/2/7,,2158,0,390,43,,427,860,0,2,57,59,919,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,6,2016/2/8,2016/2/14,,2150,0,391,3,,434,828,1,6,83,90,918,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,7,2016/2/15,2016/2/21,,2103,0,402,1,,533,936,1,18,103,122,1058,,No Report
