textbox22,Textbox9
generated on 30/11/2020 03:57:24 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,1,2014-12-29,2015-01-04,,1468,0,1,146,,162,309,1,0,5,6,315,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,2,2015-01-05,2015-01-11,,1635,0,6,291,,82,379,4,0,4,8,387,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,3,2015-01-12,2015-01-18,,1510,0,4,247,,82,333,2,0,8,10,343,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,4,2015-01-19,2015-01-25,,1531,0,6,272,,130,408,2,0,5,7,415,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,5,2015-01-26,2015-02-01,,1613,0,14,313,,100,427,5,0,10,15,442,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,6,2015-02-02,2015-02-08,,1545,0,9,306,,114,429,5,0,18,23,452,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,7,2015-02-09,2015-02-15,,1679,0,11,340,,107,458,12,1,30,43,501,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,8,2015-02-16,2015-02-22,,1778,0,16,280,,127,423,13,0,32,45,468,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,9,2015-02-23,2015-03-01,,1524,0,9,134,,95,238,6,0,58,64,302,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,10,2015-03-02,2015-03-08,,1262,0,12,71,,60,143,1,0,58,59,202,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,11,2015-03-09,2015-03-15,,1217,0,13,76,,35,124,5,1,73,79,203,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,12,2015-03-16,2015-03-22,,1183,0,14,46,,25,85,32,4,80,116,201,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,13,2015-03-23,2015-03-29,,1120,0,6,36,,10,52,17,0,85,102,154,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,14,2015-03-30,2015-04-05,,1085,0,9,15,,14,38,23,3,90,116,154,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,15,2015-04-06,2015-04-12,,1080,0,3,10,,11,24,11,2,101,114,138,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,16,2015-04-13,2015-04-19,,1094,0,4,5,,7,16,30,0,107,137,153,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,17,2015-04-20,2015-04-26,,867,0,1,1,,3,5,0,0,80,80,85,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,18,2015-04-27,2015-05-03,,950,0,1,1,,4,6,0,0,47,47,53,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,19,2015-05-04,2015-05-10,,907,0,0,2,,1,3,0,0,48,48,51,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2015,20,2015-05-11,2015-05-17,,883,0,0,1,,2,3,0,0,40,40,43,,No Report
