Category: All categories

Week,mask: (United Kingdom)
2019-01-06,9
2019-01-13,8
2019-01-20,8
2019-01-27,8
2019-02-03,9
2019-02-10,9
2019-02-17,9
2019-02-24,9
2019-03-03,10
2019-03-10,9
2019-03-17,8
2019-03-24,8
2019-03-31,8
2019-04-07,9
2019-04-14,8
2019-04-21,8
2019-04-28,8
2019-05-05,9
2019-05-12,8
2019-05-19,8
2019-05-26,8
2019-06-02,8
2019-06-09,8
2019-06-16,8
2019-06-23,8
2019-06-30,8
2019-07-07,8
2019-07-14,8
2019-07-21,8
2019-07-28,8
2019-08-04,8
2019-08-11,8
2019-08-18,8
2019-08-25,8
2019-09-01,8
2019-09-08,8
2019-09-15,9
2019-09-22,8
2019-09-29,9
2019-10-06,10
2019-10-13,10
2019-10-20,12
2019-10-27,14
2019-11-03,9
2019-11-10,9
2019-11-17,9
2019-11-24,9
2019-12-01,9
2019-12-08,10
2019-12-15,9
2019-12-22,9
2019-12-29,10
2020-01-05,10
2020-01-12,10
2020-01-19,13
2020-01-26,21
2020-02-02,15
2020-02-09,16
2020-02-16,12
2020-02-23,23
2020-03-01,24
2020-03-08,22
2020-03-15,29
2020-03-22,34
2020-03-29,39
2020-04-05,32
2020-04-12,35
2020-04-19,37
2020-04-26,41
2020-05-03,35
2020-05-10,53
2020-05-17,33
2020-05-24,26
2020-05-31,41
2020-06-07,38
2020-06-14,36
2020-06-21,29
2020-06-28,33
2020-07-05,42
2020-07-12,100
2020-07-19,86
2020-07-26,57
2020-08-02,42
2020-08-09,35
2020-08-16,30
2020-08-23,32
2020-08-30,30
2020-09-06,29
2020-09-13,28
2020-09-20,40
2020-09-27,32
2020-10-04,30
2020-10-11,29
2020-10-18,28
2020-10-25,31
