Category: All categories

Week,masks: (United Kingdom)
2019-01-06,3
2019-01-13,3
2019-01-20,3
2019-01-27,3
2019-02-03,3
2019-02-10,3
2019-02-17,2
2019-02-24,3
2019-03-03,3
2019-03-10,3
2019-03-17,2
2019-03-24,3
2019-03-31,2
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,3
2019-05-05,3
2019-05-12,3
2019-05-19,2
2019-05-26,2
2019-06-02,2
2019-06-09,3
2019-06-16,3
2019-06-23,2
2019-06-30,2
2019-07-07,2
2019-07-14,2
2019-07-21,2
2019-07-28,2
2019-08-04,2
2019-08-11,2
2019-08-18,2
2019-08-25,2
2019-09-01,2
2019-09-08,2
2019-09-15,3
2019-09-22,3
2019-09-29,3
2019-10-06,4
2019-10-13,3
2019-10-20,4
2019-10-27,4
2019-11-03,3
2019-11-10,3
2019-11-17,3
2019-11-24,3
2019-12-01,3
2019-12-08,3
2019-12-15,3
2019-12-22,2
2019-12-29,2
2020-01-05,2
2020-01-12,3
2020-01-19,4
2020-01-26,9
2020-02-02,6
2020-02-09,7
2020-02-16,4
2020-02-23,14
2020-03-01,12
2020-03-08,11
2020-03-15,17
2020-03-22,20
2020-03-29,24
2020-04-05,16
2020-04-12,23
2020-04-19,23
2020-04-26,29
2020-05-03,24
2020-05-10,40
2020-05-17,21
2020-05-24,14
2020-05-31,32
2020-06-07,28
2020-06-14,24
2020-06-21,18
2020-06-28,23
2020-07-05,33
2020-07-12,100
2020-07-19,70
2020-07-26,37
2020-08-02,28
2020-08-09,22
2020-08-16,18
2020-08-23,23
2020-08-30,18
2020-09-06,17
2020-09-13,17
2020-09-20,25
2020-09-27,18
2020-10-04,16
2020-10-11,15
2020-10-18,14
2020-10-25,18
