Category: All categories

Week,masks: (United States)
2019-01-06,4
2019-01-13,4
2019-01-20,4
2019-01-27,4
2019-02-03,4
2019-02-10,4
2019-02-17,4
2019-02-24,4
2019-03-03,5
2019-03-10,4
2019-03-17,4
2019-03-24,4
2019-03-31,4
2019-04-07,4
2019-04-14,4
2019-04-21,4
2019-04-28,4
2019-05-05,4
2019-05-12,4
2019-05-19,4
2019-05-26,4
2019-06-02,3
2019-06-09,4
2019-06-16,3
2019-06-23,3
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,4
2019-08-25,3
2019-09-01,4
2019-09-08,4
2019-09-15,4
2019-09-22,4
2019-09-29,4
2019-10-06,5
2019-10-13,5
2019-10-20,6
2019-10-27,6
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,4
2019-12-01,4
2019-12-08,4
2019-12-15,4
2019-12-22,4
2019-12-29,4
2020-01-05,4
2020-01-12,4
2020-01-19,5
2020-01-26,10
2020-02-02,7
2020-02-09,6
2020-02-16,6
2020-02-23,25
2020-03-01,17
2020-03-08,17
2020-03-15,33
2020-03-22,44
2020-03-29,100
2020-04-05,88
2020-04-12,72
2020-04-19,62
2020-04-26,66
2020-05-03,62
2020-05-10,55
2020-05-17,48
2020-05-24,45
2020-05-31,32
2020-06-07,32
2020-06-14,45
2020-06-21,59
2020-06-28,67
2020-07-05,62
2020-07-12,71
2020-07-19,62
2020-07-26,49
2020-08-02,44
2020-08-09,43
2020-08-16,34
2020-08-23,30
2020-08-30,27
2020-09-06,26
2020-09-13,27
2020-09-20,24
2020-09-27,24
2020-10-04,24
2020-10-11,23
2020-10-18,24
2020-10-25,23
