Category: All categories

Week,mask: (China)
2019-01-06,11
2019-01-13,11
2019-01-20,8
2019-01-27,9
2019-02-03,10
2019-02-10,14
2019-02-17,14
2019-02-24,8
2019-03-03,21
2019-03-10,10
2019-03-17,16
2019-03-24,12
2019-03-31,10
2019-04-07,8
2019-04-14,11
2019-04-21,14
2019-04-28,14
2019-05-05,10
2019-05-12,8
2019-05-19,10
2019-05-26,11
2019-06-02,11
2019-06-09,10
2019-06-16,6
2019-06-23,7
2019-06-30,9
2019-07-07,9
2019-07-14,7
2019-07-21,9
2019-07-28,11
2019-08-04,11
2019-08-11,11
2019-08-18,11
2019-08-25,9
2019-09-01,9
2019-09-08,9
2019-09-15,11
2019-09-22,10
2019-09-29,7
2019-10-06,12
2019-10-13,9
2019-10-20,8
2019-10-27,15
2019-11-03,8
2019-11-10,9
2019-11-17,11
2019-11-24,9
2019-12-01,11
2019-12-08,13
2019-12-15,10
2019-12-22,16
2019-12-29,10
2020-01-05,14
2020-01-12,9
2020-01-19,55
2020-01-26,100
2020-02-02,66
2020-02-09,47
2020-02-16,37
2020-02-23,29
2020-03-01,24
2020-03-08,41
2020-03-15,59
2020-03-22,45
2020-03-29,51
2020-04-05,53
2020-04-12,30
2020-04-19,28
2020-04-26,25
2020-05-03,25
2020-05-10,24
2020-05-17,17
2020-05-24,25
2020-05-31,18
2020-06-07,16
2020-06-14,13
2020-06-21,20
2020-06-28,13
2020-07-05,12
2020-07-12,18
2020-07-19,23
2020-07-26,14
2020-08-02,9
2020-08-09,16
2020-08-16,15
2020-08-23,16
2020-08-30,19
2020-09-06,17
2020-09-13,17
2020-09-20,9
2020-09-27,8
2020-10-04,17
2020-10-11,8
2020-10-18,11
2020-10-25,10
