Category: All categories

Week,mask: (United States)
2019-01-06,10
2019-01-13,9
2019-01-20,10
2019-01-27,9
2019-02-03,9
2019-02-10,9
2019-02-17,9
2019-02-24,9
2019-03-03,9
2019-03-10,8
2019-03-17,8
2019-03-24,8
2019-03-31,8
2019-04-07,8
2019-04-14,8
2019-04-21,8
2019-04-28,8
2019-05-05,8
2019-05-12,8
2019-05-19,8
2019-05-26,8
2019-06-02,8
2019-06-09,8
2019-06-16,8
2019-06-23,8
2019-06-30,8
2019-07-07,8
2019-07-14,8
2019-07-21,8
2019-07-28,8
2019-08-04,8
2019-08-11,8
2019-08-18,8
2019-08-25,7
2019-09-01,8
2019-09-08,8
2019-09-15,8
2019-09-22,9
2019-09-29,10
2019-10-06,10
2019-10-13,11
2019-10-20,12
2019-10-27,14
2019-11-03,8
2019-11-10,8
2019-11-17,8
2019-11-24,8
2019-12-01,8
2019-12-08,9
2019-12-15,9
2019-12-22,9
2019-12-29,9
2020-01-05,8
2020-01-12,9
2020-01-19,11
2020-01-26,17
2020-02-02,14
2020-02-09,12
2020-02-16,11
2020-02-23,30
2020-03-01,21
2020-03-08,21
2020-03-15,33
2020-03-22,43
2020-03-29,89
2020-04-05,100
2020-04-12,68
2020-04-19,59
2020-04-26,56
2020-05-03,50
2020-05-10,48
2020-05-17,46
2020-05-24,40
2020-05-31,30
2020-06-07,30
2020-06-14,37
2020-06-21,49
2020-06-28,55
2020-07-05,52
2020-07-12,61
2020-07-19,55
2020-07-26,46
2020-08-02,40
2020-08-09,38
2020-08-16,33
2020-08-23,30
2020-08-30,28
2020-09-06,27
2020-09-13,27
2020-09-20,27
2020-09-27,27
2020-10-04,27
2020-10-11,26
2020-10-18,27
2020-10-25,29
